POSTED DATE,TRANSACTION DATE,TRANSACTION TIME,TRANSACTION NUMBER,TRANSPONDER/LICENSE PLATE,AGENCY NAME,LANE,AXLE,DESCRPTION / PLAZA NAME,AMOUNT
11/06/2020,09/20/2020,06:29:03 AM,32310499787,2882987-IN,Florida Turnpike Enterprise,50S,3,SR23 NEW WORLD MAIN NB MP43,($0.40)
11/06/2020,09/20/2020,06:27:39 AM,32310481006,2882987-IN,Florida Turnpike Enterprise,50S,3,SR23 NORMANDY MAIN NB MP42,($0.40)
11/06/2020,09/20/2020,02:33:03 AM,32310465854,2882985-IN,Florida Turnpike Enterprise,5D,5,SR417 CELEBRATION MAINLINE MP1,($3.20)
11/06/2020,10/04/2020,05:49:46 AM,32310478551,2892101-IN,Florida Turnpike Enterprise,50S,5,SR 417 LAKE JESUP ML NB MP47,($8.52)
11/06/2020,10/04/2020,02:51:35 AM,32310458819,2852189-IN,Florida Turnpike Enterprise,60S,3,SR 821 BIRD RD GTL SB MP22,($2.14)
11/06/2020,09/20/2020,05:11:38 AM,32310443547,2882987-IN,Florida Turnpike Enterprise,50S,5,SR23 NORMANDY MAIN NB MP42,($0.80)
11/06/2020,10/15/2020,06:37:54 PM,32311209505,2852172-IN,Miami-Dade Expressway Authority,82S,5,SR836 WEST (AT 137TH AVE),($0.56)
11/06/2020,09/20/2020,06:10:38 AM,32310449168,2882987-IN,Florida Turnpike Enterprise,60S,5,SR23 NORMANDY MAIN SB MP42,($0.80)
11/06/2020,10/04/2020,03:56:33 PM,32310430629,2852187-IN,Florida Turnpike Enterprise,60S,5,SR91 GOLDEN GLADES MAIN SB MP0,($4.28)
11/06/2020,09/20/2020,06:09:14 AM,32310390564,2882987-IN,Florida Turnpike Enterprise,60S,5,SR23 NEW WORLD MAIN SB MP43,($0.80)
11/06/2020,09/20/2020,04:31:22 AM,32310380726,2882987-IN,Florida Turnpike Enterprise,60S,3,SR23 NEW WORLD MAIN SB MP43,($0.40)
11/06/2020,09/20/2020,04:32:45 AM,32310376463,2882987-IN,Florida Turnpike Enterprise,60S,3,SR23 NORMANDY MAIN SB MP42,($0.40)
11/06/2020,10/03/2020,06:28:03 PM,32310345278,2852189-IN,Florida Turnpike Enterprise,50S,3,SR821 BEACON TRADEPRT E/W MP27,($1.08)
11/06/2020,10/04/2020,02:02:11 PM,32310327748,2852181-IN,Florida Turnpike Enterprise,50S,5,SR821 OKEECHOBEE MAINLINE MP32,($4.28)
11/06/2020,10/15/2020,08:03:45 PM,32310984001,2852184-IN,Miami-Dade Expressway Authority,44S,5,SR836 EAST (AT 97TH AVE),($1.32)
11/06/2020,10/15/2020,07:20:58 PM,32310978337,2852172-IN,Miami-Dade Expressway Authority,44S,5,SR836 EAST (AT 97TH AVE),($1.32)
11/06/2020,10/15/2020,08:19:30 PM,32310978330,2852172-IN,Miami-Dade Expressway Authority,82S,5,SR836 WEST (AT 137TH AVE),($0.56)
11/06/2020,10/01/2020,03:18:37 PM,32310191545,2852180-IN,Florida Turnpike Enterprise,50S,5,SR91 GOLDEN GLADES MAIN NB MP0,($4.28)
11/06/2020,10/02/2020,07:05:31 PM,32310106528,2882986-IN,Florida Turnpike Enterprise,3D,5,SR91 ORLANDO S (US 441) MP254,($3.20)
11/06/2020,10/02/2020,11:54:58 PM,32310105542,2852180-IN,Florida Turnpike Enterprise,61S,5,SR869 DEERFIELD B MAIN SB MP20,($4.28)
